age,yrsed,edcat,yrsempl,income,creddebt,othdebt,default,jobsat,homeown,address,cars,carvalue
45,6,1,4,17,0.371518,1.294482,0,4,1,22,1,9.1
67,6,1,15,12,0.375552,0.392448,0,3,1,28,1,5.9
68,6,1,7,9,0.20097,0.78903,0,5,0,21,1,5.8
75,6,1,35,16,0.314096,0.757904,0,4,0,11,1,5.8
38,7,1,8,37,0.14319,0.41181,0,3,0,11,1,22.1
49,7,1,4,21,0.262143,1.270857,0,1,1,14,1,10.8
52,7,1,21,44,0.817608,1.690392,0,3,1,11,1,19.8
61,7,1,27,15,0.87024,0.80976,0,4,1,35,1,4.9
62,7,1,5,32,0.476576,1.219424,0,5,1,29,1,14.6
68,7,1,7,31,0.220689,0.430311,0,4,1,18,1,13.6
69,7,1,7,30,0.84564,4.37436,0,3,1,32,1,13.4
74,7,1,11,11,0.883938,0.414062,0,3,0,12,1,5.4
78,7,1,12,16,1.543168,1.272832,0,4,0,21,1,5.5
18,8,1,0,13,0.676338,1.585662,0,1,1,0,1,7.6
21,8,1,4,18,0.776448,1.527552,1,2,1,1,1,9.2
23,8,1,2,24,0.123552,1.124448,0,4,1,2,1,14.3
26,8,1,4,23,0.360525,1.364475,0,1,1,5,1,14.3
30,8,1,7,17,0.11424,1.24576,0,3,1,9,1,7.1
30,8,1,2,28,0.341544,0.190456,0,3,0,9,1,16.1
34,8,1,2,21,1.454376,0.393624,1,2,0,6,1,10.2
34,8,1,14,25,0.54385,3.10615,0,4,0,13,1,8.4
34,8,1,3,28,0.36344,0.86856,0,2,1,12,1,13.6
38,8,1,10,31,0.631904,0.980096,0,2,1,16,1,16.8
46,8,1,16,26,0.284648,1.483352,0,5,0,4,1,13
46,8,1,15,47,0.162808,0.213192,0,3,0,23,1,22.4
46,8,1,8,37,1.42524,1.23876,0,4,1,4,1,16.6
51,8,1,15,52,1.974336,3.901664,0,4,0,13,1,33.3
57,8,1,32,73,0.988785,3.610215,0,4,1,26,1,43.4
62,8,1,18,76,0.687648,1.516352,0,3,1,25,1,28.1
65,8,1,2,10,0.415,0.585,0,2,0,18,1,6.3
66,8,1,33,9,0.114669,0.164331,0,4,0,36,1,3.9
67,8,1,30,92,1.795472,4.460528,0,4,0,33,1,46.7
70,8,1,9,32,0.01632,0.17568,0,3,0,23,1,13
71,8,1,28,60,1.02672,4.55328,0,4,1,28,1,39.1
71,8,1,31,146,0.2774,2.4966,0,3,0,24,1,68.2
72,8,1,7,24,0.403824,0.724176,0,3,0,13,1,9.9
76,8,1,22,9,0.178101,0.514899,0,5,1,25,1,2.3
78,8,1,46,48,2.159424,4.464576,0,2,1,42,1,30
78,8,1,43,19,0.435784,1.350216,0,3,1,26,1,10.4
78,8,1,30,12,0.0345,0.2655,0,5,1,49,1,5.1
78,8,1,10,15,0.80613,1.57887,0,3,0,10,1,8.2
18,9,1,0,15,0.251505,0.963495,1,2,0,0,1,6.8
21,9,1,1,18,0.64296,0.20304,1,1,1,1,1,7.9
21,9,1,1,17,0.134096,1.837904,1,1,0,0,1,8.8
22,9,1,3,29,0.065366,0.340634,1,3,0,1,1,15.5
22,9,1,3,24,0.54636,2.93364,0,2,0,1,1,10.9
24,9,1,1,18,0.31878,0.94122,0,1,1,3,1,6.3
25,9,1,3,25,1.8645,0.9605,0,1,1,4,1,13.3
28,9,1,1,18,0.742968,0.481032,1,2,1,5,1,11.8
33,9,1,8,32,0.286272,3.745728,1,2,1,9,1,17.1
37,9,1,3,16,0.14552,1.56648,0,2,0,8,1,6.7
37,9,1,8,28,0.26544,0.85456,0,4,1,13,1,16.3
37,9,1,4,41,0.232716,3.293284,0,4,0,10,1,23.2
41,9,1,7,31,0.760368,1.502632,0,3,0,13,1,13.5
43,9,1,4,43,0.796876,4.062124,0,4,0,10,1,26.5
44,9,1,3,49,1.137045,3.321955,0,3,0,7,1,21.2
44,9,1,4,30,0.5805,0.9195,0,1,1,12,1,12.1
47,9,1,9,72,5.362776,9.829224,1,5,0,3,1,34.9
50,9,1,10,84,8.418816,11.069184,1,2,0,17,1,46.2
50,9,1,2,23,1.213664,1.914336,1,4,1,12,1,15
51,9,1,22,57,0.084588,0.314412,0,3,0,13,1,20.2
53,9,1,20,51,2.005269,4.981731,0,1,0,25,1,21.7
55,9,1,5,22,0.801108,0.584892,0,3,1,10,1,6.7
56,9,1,31,150,0.6762,23.4738,0,5,1,29,1,64.6
57,9,1,11,54,1.5876,4.8924,0,1,1,21,1,25.4
58,9,1,14,92,1.246784,0.777216,0,3,1,31,1,48.1
59,9,1,21,76,1.14608,8.73392,0,5,1,25,1,18.4
59,9,1,17,74,0.67266,5.98734,0,4,1,32,1,30
59,9,1,15,38,0.563958,1.374042,0,2,0,13,1,21.7
61,9,1,22,105,3.79743,7.43757,0,4,1,25,1,43.8
61,9,1,13,34,1.375232,2.976768,0,1,1,25,1,18.9
61,9,1,25,86,0.85785,0.94815,0,5,0,32,1,48
63,9,1,5,31,2.4211,4.3989,0,1,0,18,1,14.2
64,9,1,19,88,1.29888,9.26112,0,5,1,40,1,44.4
64,9,1,30,29,1.922816,1.789184,0,3,0,31,1,13
64,9,1,33,184,0.924048,10.483952,0,4,1,39,1,90.5
67,9,1,13,96,1.560768,0.551232,0,5,1,28,1,41.7
67,9,1,2,27,0.629532,4.797468,0,1,1,30,1,12.1
70,9,1,42,57,3.72666,4.25334,0,5,1,21,1,30.8
74,9,1,26,62,2.428044,4.205956,0,4,1,40,1,33.3
74,9,1,17,11,0.066528,0.230472,0,2,1,9,1,3.9
75,9,1,30,10,0.472,0.328,0,3,0,43,1,3.8
77,9,1,38,34,0.409836,3.772164,0,5,1,57,1,14.2
77,9,1,12,19,0.36708,1.91292,0,1,1,30,1,9.9
79,9,1,34,18,1.337256,0.876744,0,4,1,23,1,11.6
79,9,1,9,15,0.243,0.567,0,3,0,7,1,8.4
20,10,1,0,22,1.3409,1.1891,0,3,0,1,1,12.4
22,10,1,1,21,1.857744,1.334256,1,1,1,2,1,11
23,10,1,4,39,0.270504,2.381496,0,1,0,2,1,21.5
23,10,1,2,33,0.424116,0.697884,1,1,0,2,1,11.1
26,10,1,3,27,0.512082,1.053918,1,2,0,2,1,11.8
27,10,1,3,20,0.1904,0.3696,1,3,1,5,1,12.8
30,10,1,7,37,0.524475,0.770525,1,2,0,7,1,15.5
32,10,1,12,27,0.250344,1.396656,0,4,0,4,1,10.4
33,10,1,14,36,1.7901,0.5499,0,4,1,7,1,15.6
37,10,1,3,30,2.88288,1.73712,0,2,1,12,1,12.8
38,10,1,13,33,0.808863,3.382137,0,5,1,17,1,19.1
39,10,1,8,40,0.89392,2.06608,0,4,1,15,1,21.7
41,10,1,4,40,0.47736,1.08264,0,2,1,14,1,18.9
41,10,1,1,18,0.09315,1.14885,0,2,0,8,1,8.1
42,10,1,4,57,8.398551,3.970449,1,2,1,13,1,31.6
42,10,1,9,45,0.978075,5.096925,0,5,0,4,1,25.5
42,10,1,6,48,0.247776,1.144224,0,4,0,22,1,18.2
43,10,1,7,23,1.40415,4.92085,1,5,0,20,1,10.7
44,10,1,12,73,1.250928,0.793072,0,5,1,9,1,38.5
44,10,1,8,31,1.959758,2.566242,0,3,1,13,1,20.3
44,10,1,7,34,0.37604,0.30396,0,5,1,14,1,17.2
44,10,1,19,80,1.30832,0.77168,0,5,1,14,1,40.6
45,10,1,15,44,0.98736,4.99664,0,2,1,25,1,30.9
46,10,1,17,62,1.482544,1.989456,0,3,0,16,1,42.1
46,10,1,21,54,0.754272,3.133728,0,5,1,12,1,21.9
50,10,1,6,70,0.7644,1.6856,0,3,0,18,1,35
50,10,1,8,31,1.337402,1.948598,0,2,1,26,1,14.9
51,10,1,7,26,0.24128,0.51272,0,3,0,15,1,13.2
52,10,1,18,67,0.598846,2.148154,0,4,1,21,1,31.1
54,10,1,8,24,2.360976,2.487024,0,3,1,21,1,15.4
57,10,1,15,56,1.734656,5.041344,0,5,1,21,1,24.5
58,10,1,12,71,0.720792,3.113208,0,3,1,23,1,29.7
60,10,1,17,89,0.032574,5.396426,0,4,1,28,1,40.6
60,10,1,26,41,1.011142,0.546858,0,1,1,30,1,17.9
60,10,1,28,121,1.036728,5.739272,0,5,0,27,1,60.4
62,10,1,33,27,1.499904,1.848096,0,5,0,18,1,12.6
63,10,1,11,34,0.13311,0.85289,0,5,0,15,1,20.6
63,10,1,10,77,2.080386,2.308614,0,4,1,25,1,40.3
63,10,1,2,19,1.399255,1.317745,0,1,0,26,1,10.9
64,10,1,12,35,0.471835,1.663165,0,3,1,26,1,19.2
64,10,1,2,31,0.721556,0.642444,0,5,1,29,1,18.1
66,10,1,25,10,0.0814,0.1186,0,2,0,23,1,4.8
67,10,1,24,23,0.112125,0.462875,0,4,1,44,1,13.5
68,10,1,31,9,0.138744,0.284256,0,5,0,9,1,4.2
68,10,1,31,120,0.39204,0.68796,0,4,1,28,1,63.8
68,10,1,24,196,7.93408,7.74592,0,1,1,24,1,64.5
69,10,1,10,9,0.902286,2.166714,0,3,1,22,1,4.8
69,10,1,6,73,0.054604,0.237396,0,3,1,31,1,42.3
70,10,1,13,87,1.273419,3.163581,0,1,1,40,1,45
72,10,1,9,15,0.27183,0.95817,0,3,1,36,1,8.3
74,10,1,35,33,0.306306,3.620694,0,5,1,28,1,14.7
74,10,1,27,15,0.5922,1.2078,0,4,0,12,1,4.7
74,10,1,10,36,1.069704,1.918296,0,3,1,45,1,20.6
75,10,1,11,28,0.394548,0.529452,0,2,1,13,1,13.8
75,10,1,30,107,1.06786,1.07214,0,5,0,35,1,51.7
75,10,1,45,15,0.33813,1.19187,0,4,0,17,1,8.2
76,10,1,33,20,0.8508,0.3492,0,4,1,53,1,12
77,10,1,40,10,0.2438,0.2162,0,5,0,11,1,5
77,10,1,24,9,0.392472,0.318528,0,5,0,48,1,3.4
78,10,1,20,17,0.75429,0.69071,0,2,0,44,1,9.5
79,10,1,35,13,0.50193,2.07207,0,3,0,53,1,6
79,10,1,34,9,0.660744,0.581256,0,4,1,40,1,4.7
79,10,1,10,9,0.472374,0.994626,0,5,0,15,1,5.8
18,11,1,0,17,0.38148,0.74052,1,2,1,0,1,5
19,11,1,1,16,0.542304,0.465696,0,1,1,0,1,7.4
20,11,1,0,19,0.443992,0.430008,0,1,0,0,1,10.4
22,11,1,0,31,1.334085,1.610915,0,1,1,2,1,15.8
22,11,1,1,28,0.92512,1.03488,0,2,0,2,1,13.1
24,11,1,3,20,0.1235,0.3765,0,3,1,5,1,11.8
24,11,1,2,19,0.229425,1.955575,1,1,0,4,1,9.1
25,11,1,1,32,0.1272,1.5688,0,2,0,2,1,17.5
26,11,1,6,35,0.708505,0.376495,0,3,1,4,1,15.5
27,11,1,1,17,0.17884,0.50116,0,3,0,3,1,9.7
30,11,1,7,28,0.651112,1.504888,0,2,1,4,1,13.4
30,11,1,6,29,1.31544,2.86056,0,2,0,7,1,12.3
30,11,1,4,37,2.37762,5.39238,1,2,1,9,1,24.9
31,11,1,9,38,0.214396,0.963604,0,4,1,8,1,27
32,11,1,2,32,0.554112,3.189888,0,2,1,10,1,19.8
33,11,1,5,38,2.05485,4.59515,1,4,1,14,1,18.6
33,11,1,2,31,0.497426,3.005574,0,1,0,3,1,19.4
34,11,1,2,21,0.27825,1.94775,0,1,0,8,1,11.3
35,11,1,5,17,0.254932,0.136068,1,2,1,11,1,11.4
36,11,1,12,34,0.3689,2.0111,0,3,1,12,1,13.9
37,11,1,1,28,0.86982,2.18218,0,1,1,14,1,12.8
40,11,1,3,54,3.733452,7.444548,1,1,0,1,1,19
40,11,1,1,62,0.2728,0.4092,0,3,1,19,1,35.8
41,11,1,8,74,7.501306,4.856694,0,2,0,14,1,50.7
41,11,1,16,77,9.124038,8.354962,1,3,1,11,1,27.8
43,11,1,9,64,3.142656,13.753344,1,5,0,4,1,35
46,11,1,4,45,1.7055,2.7945,1,4,0,9,1,24.7
47,11,1,10,32,0.177216,0.238784,0,3,0,13,1,16.3
47,11,1,6,22,1.2144,1.3156,0,2,1,18,1,9.3
48,11,1,13,117,0.601146,1.036854,0,2,0,15,1,52.1
48,11,1,4,31,0.522288,3.104712,0,2,1,21,1,17
49,11,1,15,63,1.131732,1.136268,0,2,1,17,1,32.6
49,11,1,16,76,7.116336,4.511664,0,4,0,21,1,26.9
50,11,1,5,32,1.740928,6.835072,1,5,1,24,1,14.7
53,11,1,6,48,2.53824,1.30176,1,4,1,18,1,23.8
55,11,1,7,26,0.903292,0.604708,0,1,0,19,1,19.5
55,11,1,22,129,1.314768,5.393232,0,3,1,24,1,84.7
55,11,1,13,133,7.00112,14.27888,0,4,1,15,1,59.2
57,11,1,23,75,3.4224,3.4776,0,5,0,18,1,39.9
58,11,1,11,48,0.400512,2.287488,0,2,1,9,1,15.9
58,11,1,10,42,1.020894,3.557106,0,4,0,10,1,18
58,11,1,13,59,3.093842,6.759158,0,3,1,22,1,35.9
59,11,1,14,54,5.567616,9.984384,1,2,1,8,1,31.7
59,11,1,19,32,0.209152,2.542848,0,1,1,22,1,13.8
63,11,1,7,31,0.171275,0.231725,0,2,1,33,1,13.8
63,11,1,3,44,0.77616,1.37984,0,2,1,16,1,21.7
64,11,1,5,19,0.177099,0.563901,0,3,1,24,1,8.7
64,11,1,16,69,2.681892,2.769108,0,5,1,38,1,27
64,11,1,14,58,1.423552,1.998448,0,5,1,6,1,20
65,11,1,6,30,0.19026,0.22974,0,4,0,23,1,17
65,11,1,18,78,2.39148,3.06852,0,3,1,31,1,44.3
65,11,1,29,11,0.420926,0.162074,0,5,1,9,1,5.5
68,11,1,30,11,0.582714,0.308286,0,4,1,27,1,4.9
70,11,1,29,107,4.364316,9.759684,0,3,1,40,1,46.5
71,11,1,40,201,4.291752,23.044248,0,3,0,32,1,91.9
71,11,1,23,93,1.883622,5.742378,0,5,0,29,1,48.4
72,11,1,14,42,3.012324,1.565676,0,2,1,39,1,23.9
73,11,1,7,9,0.146862,0.591138,0,5,1,31,1,4.6
73,11,1,43,20,0.49484,1.28516,0,2,0,29,1,13.8
74,11,1,33,103,5.918277,5.102723,0,4,0,26,1,55.9
74,11,1,13,14,0.51072,0.38528,0,1,1,38,1,6.3
75,11,1,2,10,0.03888,0.20112,0,2,0,35,1,4.9
75,11,1,32,21,1.533483,0.587517,0,4,1,30,1,10
75,11,1,10,40,0.1856,4.4544,0,2,0,16,1,20.8
75,11,1,7,14,0.563388,1.032612,0,5,1,27,1,5.3
76,11,1,48,17,0.424116,0.646884,0,5,1,30,1,7.9
76,11,1,31,51,0.208386,0.709614,0,4,1,31,1,18.3
77,11,1,21,17,0.943245,1.385755,0,2,0,16,1,10.9
77,11,1,11,11,0.129778,0.057222,0,2,1,51,1,6.4
78,11,1,52,107,4.510906,6.938094,0,4,1,46,1,58
78,11,1,43,9,0.370548,0.286452,0,5,1,37,1,5.7
79,11,1,34,10,0.33966,0.40034,0,5,0,44,1,6.2
79,11,1,2,10,0.38134,0.07866,0,1,0,48,1,3.4
79,11,1,20,12,0.26568,0.38232,0,3,0,44,1,7.5
79,11,1,13,27,0.108891,2.834109,0,1,1,37,1,11.4
79,11,1,36,46,0.733194,2.808806,0,3,0,8,1,21
18,12,2,0,14,0.57708,2.62892,1,1,1,0,1,7.8
18,12,2,0,16,0.034176,0.061824,1,2,0,0,1,6.6
20,12,2,0,13,0.284596,0.391404,0,1,1,0,1,7.8
20,12,2,1,15,0.069795,0.425205,0,2,0,0,1,5.6
20,12,2,1,15,0.154875,0.730125,0,2,1,1,1,5.6
21,12,2,0,14,0.789488,1.338512,1,1,1,1,1,8
21,12,2,1,20,0.04522,0.29478,0,1,1,2,1,9
21,12,2,1,22,0.796928,2.019072,1,3,1,2,1,14.6
21,12,2,0,25,0.720875,1.104125,1,1,1,0,1,11
22,12,2,0,21,0.623805,0.741195,0,1,1,3,1,11.5
22,12,2,1,32,0.20944,2.25456,1,2,0,0,1,19.3
22,12,2,1,19,0.469908,1.582092,0,3,1,3,1,8.9
22,12,2,0,21,0.198534,0.410466,1,2,1,1,1,12.5
24,12,2,2,16,0.28272,1.54128,1,1,1,5,1,5
25,12,2,3,37,0.48433,2.66067,0,4,1,6,1,17.1
26,12,2,2,21,0.179634,1.794366,0,1,1,5,1,11.3
26,12,2,5,23,0.037536,0.744464,0,2,1,3,1,13.6
26,12,2,4,41,0.34112,4.90688,0,3,1,4,1,21.5
26,12,2,4,30,0.20787,1.02213,0,1,0,4,1,18.4
26,12,2,2,18,0.89262,0.81738,1,1,1,1,1,8.5
27,12,2,2,19,0.499776,0.412224,0,1,0,1,1,11.1
27,12,2,1,22,0.176,0.176,0,3,1,6,1,7.4
27,12,2,6,47,0.025662,0.068338,0,5,0,7,1,30.9
27,12,2,1,45,2.27106,3.30894,1,4,1,5,1,24.6
27,12,2,7,39,3.3345,1.1115,0,5,0,4,1,31
29,12,2,4,22,0.149688,0.114312,0,1,0,5,1,11.1
29,12,2,6,38,1.9057,1.3243,0,4,0,6,1,21.4
29,12,2,2,24,0.904176,0.967824,1,1,1,9,1,13.6
31,12,2,1,31,2.030624,3.673376,0,2,0,5,1,10
31,12,2,4,22,0.080256,0.337744,1,5,1,7,1,12
